Geo_GEOID,SE_T004_001,SE_T017_001
14000US01073005903,5093,2200
14000US01073005905,5457,2103
14000US01073005907,2254,835
14000US01073005908,3829,1491
14000US01073005909,2695,968
14000US01073005910,5870,2120
14000US01073010001,4632,1948
14000US01073010002,4981,1913
14000US01073010100,1504,643
14000US01073010200,2895,937
14000US01073010301,2409,1031
14000US01073010302,4289,1523
14000US01073010401,3638,1419
14000US01073010402,2135,757
14000US01073010500,1537,582
14000US01073010602,5886,2300
14000US01073010603,2603,999
14000US01073010701,1633,678
14000US01073010702,4663,2008
14000US01073010703,2353,898
14000US01073010704,4790,1180
14000US01073010705,4190,1492
14000US01073010706,5227,2356
14000US01073010801,5947,2306
14000US01073010802,3440,1185
14000US01073010803,6426,2376
14000US01073010804,2983,1090
14000US01073010805,7008,2699
14000US01073010900,4909,1939
14000US01073011001,5422,2100
14000US01073011002,2226,814
14000US01073011104,7722,3223
14000US01073011107,10895,3830
14000US01073011108,4645,1846
14000US01073011109,3713,1539
14000US01073011110,5997,2078
14000US01073011111,7774,2776
14000US01073011205,1927,871
14000US01073011206,5526,2158
14000US01073011207,5645,1940
14000US01073011208,3884,1376
14000US01073011209,3690,1338
14000US01073011210,4371,1619
14000US01073011301,3178,1216
14000US01073011302,6237,2242
14000US01073011400,6811,2707
14000US01073011500,5388,2088
14000US01073011600,3951,1404
14000US01073011703,9630,4002
14000US01073011704,3450,1333
14000US01073011705,7445,2799
14000US01073011706,2211,841
14000US01073011802,7279,2953
14000US01073011803,5142,1823
14000US01073011804,3125,1180
14000US01073011901,2680,1193
14000US01073011904,2079,841
14000US01073012001,4498,1712
14000US01073012002,7677,3093
14000US01073012103,3874,1607
14000US01073012104,2949,1141
14000US01073012200,4301,1066
14000US01073012302,3716,1445
14000US01073012304,2783,954
14000US01073012305,7712,2936
14000US01073012401,3997,1494
14000US01073012402,2446,1134
14000US01073012403,3467,1281
14000US01073012500,4165,1632
14000US01073012602,2886,1330
14000US01073012701,3901,1388
14000US01073012703,6383,2105
14000US01073012704,2068,839
14000US01073012802,2790,1315
14000US01073012803,4689,2532
14000US01073012905,4306,1508
14000US01073012906,6147,2620
14000US01073012907,4474,2075
14000US01073012908,5354,1988
14000US01073012910,3564,1653
14000US01073012911,5874,1910
14000US01073012912,4654,2264
14000US01073012913,4842,1641
14000US01073012914,1978,991
14000US01073012915,6100,2609
14000US01073013002,1539,694
14000US01073013100,4545,1824
14000US01073013200,2213,824
14000US01073013300,3534,1233
14000US01073013400,4890,1940
14000US01073013601,3347,1282
14000US01073013801,1963,760
14000US01073013901,1838,649
14000US01073013902,2316,869
14000US01073014001,3914,1497
14000US01073014002,3958,1250
14000US01073014102,4487,1696
14000US01073014104,3276,1239
14000US01073014105,4479,1766
14000US01073014203,12883,5116
14000US01073014204,9908,3657
14000US01073014301,2687,1131
14000US01073014302,7204,3073
14000US01073014404,5452,2306
14000US01073014405,3872,1562
14000US01073014406,5811,2114
14000US01073014408,3777,1821
14000US01073014409,3356,1310
14000US01073014410,5036,2098
14000US01073014412,4651,1611
14000US01073014413,9627,3489
14000US01075030000,4789,2012
14000US01075030100,5313,2306
14000US01075030200,3964,1692
14000US01077010100,2026,491
14000US01077010200,1892,925
14000US01077010300,990,522
14000US01077010400,3189,1298
14000US01077010600,3126,1452
14000US01077010700,2043,754
14000US01077010800,4156,1619
14000US01077010900,6936,3375
14000US01077011000,4873,2100
14000US01077011101,5983,2510
14000US01077011102,4046,2075
14000US01077011200,4045,1608
14000US01077011300,2100,829
14000US01077011400,6644,2470
14000US01077011501,6271,2844
14000US01077011502,5462,2078
14000US01077011602,4773,1817
14000US01077011603,4336,1725
14000US01077011604,7094,2581
14000US01077011700,4196,1745
14000US01077011801,4834,1970
14000US01077011802,3626,1573
14000US01079979100,1806,718
14000US01079979200,4336,1861
14000US01079979300,4828,1974
14000US01079979400,4448,1857
14000US01079979500,5504,2082
14000US01079979600,5403,2065
14000US01079979700,1844,734
14000US01079979800,3284,1321
14000US01079979900,1980,709
14000US01081040200,5093,2467
14000US01081040300,2315,1116
14000US01081040400,7339,3026
14000US01081040500,9234,3424
14000US01081040602,5774,2058
14000US01081040603,732,356
14000US01081040604,5013,2137
14000US01081040700,5224,284
14000US01081040800,3292,1670
14000US01081040901,4006,1422
14000US01081040902,6136,2501
14000US01081041000,7590,2723
14000US01081041100,10352,4249
14000US01081041200,4688,1883
14000US01081041300,3824,1565
14000US01081041400,3743,1384
14000US01081041600,3570,1527
14000US01081041700,9044,3467
14000US01081041800,7912,2798
14000US01081041900,7870,3054
14000US01081042002,7477,2972
14000US01081042003,3522,1077
14000US01081042004,12312,4171
14000US01081042005,5185,1795
14000US01081042006,2017,770
14000US01081042101,3816,1442
14000US01081042102,6867,2563
14000US01083020101,4742,1527
14000US01083020102,6161,2357
14000US01083020201,5289,1930
14000US01083020202,5395,1841
14000US01083020300,3795,1430
14000US01083020401,6100,2415
14000US01083020402,5356,1874
14000US01083020500,2710,1184
14000US01083020600,5011,1645
14000US01083020700,2203,1031
14000US01083020801,8335,2188
14000US01083020802,8818,3125
14000US01083020900,4302,1749
14000US01083021000,2563,1056
14000US01083021100,6377,2317
14000US01083021200,13100,4404
14000US01085780800,3434,1345
14000US01085781000,2771,1150
14000US01085781100,1654,728
14000US01085781200,2706,1015
14000US01087231400,1318,599
14000US01087231500,2962,1302
14000US01087231601,960,517
14000US01087231602,1548,765
14000US01087231603,1140,540
14000US01087231700,2468,189
14000US01087231800,998,503
14000US01087231900,1371,665
14000US01087232000,1730,649
14000US01087232100,1365,662
14000US01087232200,2258,849
14000US01087232300,1566,675
14000US01089000201,939,391
14000US01089000202,3868,776
14000US01089000301,3942,1486
14000US01089000302,3181,1438
14000US01089000403,4813,1769
14000US01089000501,2107,751
14000US01089000502,2312,916
14000US01089000503,1751,726
14000US01089000601,1404,557
14000US01089000602,2282,875
14000US01089000701,2811,1204
14000US01089000702,2538,1237
14000US01089000901,4478,1990
14000US01089000902,1978,1105
14000US01089001000,2775,1615
14000US01089001200,3137,1262
14000US01089001301,3216,1634
14000US01089001302,1895,918
14000US01089001401,1744,877
14000US01089001402,4870,2640
14000US01089001500,4487,1503
14000US01089001700,1826,804
14000US01089001801,4224,1563
14000US01089001901,3664,1396
14000US01089001902,1287,623
14000US01089001903,2435,953
14000US01089002000,2240,1081
14000US01089002100,3247,1419
14000US01089002200,2096,916
14000US01089002300,5050,1908
14000US01089002400,3975,1867
14000US01089002501,3427,1582
14000US01089002502,3015,1457
14000US01089002600,4258,2046
14000US01089002701,2627,1292
14000US01089002721,4236,1870
14000US01089002722,2974,1291
14000US01089002801,4360,2261
14000US01089002802,6766,2925
14000US01089002911,4551,1798
14000US01089002912,2475,965
14000US01089002921,6360,2754
14000US01089002922,4164,1788
14000US01089003000,2740,1175
14000US01089003100,4343,1102
14000US01089010100,9374,3655
14000US01089010200,5636,2153
14000US01089010301,7583,3021
14000US01089010302,4150,1549
14000US01089010401,6305,2401
14000US01089010402,5975,2270
14000US01089010501,12194,4274
14000US01089010502,3475,1193
14000US01089010612,5576,2241
