Geo_GEOID,Geo_NAME,SE_T004_001,SE_T017_001
05000US05021,"Clay County, Arkansas",15202,6453
05000US05023,"Cleburne County, Arkansas",25587,10360
05000US05025,"Cleveland County, Arkansas",8421,3342
05000US05027,"Columbia County, Arkansas",24168,9518
05000US05029,"Conway County, Arkansas",21060,8360
05000US05031,"Craighead County, Arkansas",102884,39042
05000US05033,"Crawford County, Arkansas",61927,23548
05000US05035,"Crittenden County, Arkansas",49511,18496
05000US05037,"Cross County, Arkansas",17329,6703
05000US05039,"Dallas County, Arkansas",7738,3222
05000US05041,"Desha County, Arkansas",12234,5224
05000US05043,"Drew County, Arkansas",18688,7094
05000US05045,"Faulkner County, Arkansas",120417,43451
05000US05047,"Franklin County, Arkansas",17799,6779
05000US05049,"Fulton County, Arkansas",12186,5240
05000US05051,"Garland County, Arkansas",97119,40353
05000US05053,"Grant County, Arkansas",18046,6869
05000US05055,"Greene County, Arkansas",43745,16766
05000US05057,"Hempstead County, Arkansas",22208,7729
05000US05059,"Hot Spring County, Arkansas",33440,12226
05000US05061,"Howard County, Arkansas",13487,5068
05000US05063,"Independence County, Arkansas",37030,14316
05000US05065,"Izard County, Arkansas",13461,5349
05000US05067,"Jackson County, Arkansas",17495,6219
05000US05069,"Jefferson County, Arkansas",72385,27660
05000US05071,"Johnson County, Arkansas",26025,10014
05000US05073,"Lafayette County, Arkansas",7127,2947
05000US05075,"Lawrence County, Arkansas",16915,6603
05000US05077,"Lee County, Arkansas",9781,3541
05000US05079,"Lincoln County, Arkansas",13935,3940
05000US05081,"Little River County, Arkansas",12616,5191
05000US05083,"Logan County, Arkansas",21935,8401
05000US05085,"Lonoke County, Arkansas",71279,25993
05000US05087,"Madison County, Arkansas",15761,6279
05000US05089,"Marion County, Arkansas",16404,6667
05000US05091,"Miller County, Arkansas",43666,17003
05000US05093,"Mississippi County, Arkansas",44199,16835
05000US05095,"Monroe County, Arkansas",7542,3306
05000US05097,"Montgomery County, Arkansas",9100,3735
05000US05099,"Nevada County, Arkansas",8668,3509
05000US05101,"Newton County, Arkansas",7988,3243
05000US05103,"Ouachita County, Arkansas",24728,10313
05000US05105,"Perry County, Arkansas",10246,3730
05000US05107,"Phillips County, Arkansas",19929,7953
05000US05109,"Pike County, Arkansas",11017,4298
05000US05111,"Poinsett County, Arkansas",24131,9471
05000US05113,"Polk County, Arkansas",20290,7925
05000US05115,"Pope County, Arkansas",63107,22919
05000US05117,"Prairie County, Arkansas",8334,3846
05000US05119,"Pulaski County, Arkansas",391806,155440
05000US05121,"Randolph County, Arkansas",17584,7318
05000US05123,"St. Francis County, Arkansas",27023,9308
05000US05125,"Saline County, Arkansas",115577,42633
05000US05127,"Scott County, Arkansas",10661,3965
05000US05129,"Searcy County, Arkansas",7938,3194
05000US05131,"Sebastian County, Arkansas",127351,50437
05000US05133,"Sevier County, Arkansas",17193,6005
05000US05135,"Sharp County, Arkansas",17027,7320
05000US05137,"Stone County, Arkansas",12503,4966
05000US05139,"Union County, Arkansas",40334,16383
05000US05141,"Van Buren County, Arkansas",16892,6825
05000US05143,"Washington County, Arkansas",219930,83467
05000US05145,"White County, Arkansas",78823,29108
05000US05147,"Woodruff County, Arkansas",6873,2919
05000US05149,"Yell County, Arkansas",21716,7492
05000US06001,"Alameda County, California",1605217,564293
05000US06003,"Alpine County, California",1184,343
05000US06005,"Amador County, California",36963,14248
05000US06007,"Butte County, California",223877,85505
05000US06009,"Calaveras County, California",44787,17713
05000US06011,"Colusa County, California",21361,6962
05000US06013,"Contra Costa County, California",1107925,387540
05000US06015,"Del Norte County, California",27628,9443
05000US06017,"El Dorado County, California",183000,67528
05000US06019,"Fresno County, California",963160,299456
05000US06021,"Glenn County, California",27976,9801
05000US06023,"Humboldt County, California",135182,53689
05000US06025,"Imperial County, California",178807,45800
05000US06027,"Inyo County, California",18326,7973
05000US06029,"Kern County, California",871337,262337
05000US06031,"Kings County, California",150261,41845
05000US06033,"Lake County, California",64076,26194
05000US06035,"Lassen County, California",31945,9501
05000US06037,"Los Angeles County, California",10057155,3281845
05000US06039,"Madera County, California",153366,43574
05000US06041,"Marin County, California",259358,104400
05000US06043,"Mariposa County, California",17645,7255
05000US06045,"Mendocino County, California",87409,34594
05000US06047,"Merced County, California",265001,78270
05000US06049,"Modoc County, California",9033,3670
05000US06051,"Mono County, California",14051,4950
05000US06053,"Monterey County, California",430201,125916
05000US06055,"Napa County, California",140823,49375
05000US06057,"Nevada County, California",98639,40587
05000US06059,"Orange County, California",3132211,1017012
05000US06061,"Placer County, California",370571,136730
05000US06063,"Plumas County, California",18754,8376
05000US06065,"Riverside County, California",2323892,705716
05000US06067,"Sacramento County, California",1479300,527335
05000US06069,"San Benito County, California",58051,17390
05000US06071,"San Bernardino County, California",2106754,618922
05000US06073,"San Diego County, California",3253356,1103128
05000US06075,"San Francisco County, California",850282,356797
05000US06077,"San Joaquin County, California",714860,221707
05000US06079,"San Luis Obispo County, California",278680,104404
05000US06081,"San Mateo County, California",754748,261010
05000US06083,"Santa Barbara County, California",439395,143051
05000US06085,"Santa Clara County, California",1885056,626579
05000US06087,"Santa Cruz County, California",270931,95062
05000US06089,"Shasta County, California",179228,69713
05000US06091,"Sierra County, California",2931,1275
05000US06093,"Siskiyou County, California",43668,19045
05000US06095,"Solano County, California",429596,145315
05000US06097,"Sonoma County, California",497776,189043
05000US06099,"Stanislaus County, California",530561,170328
05000US06101,"Sutter County, California",95406,32028
05000US06103,"Tehama County, California",63015,23573
05000US06105,"Trinity County, California",13180,5468
05000US06107,"Tulare County, California",455769,134153
05000US06109,"Tuolumne County, California",53864,22083
05000US06111,"Ventura County, California",843110,269338
05000US06113,"Yolo County, California",209671,72544
05000US06115,"Yuba County, California",73897,25655
05000US08001,"Adams County, Colorado",479977,158748
05000US08003,"Alamosa County, Colorado",16353,5946
05000US08005,"Arapahoe County, Colorado",617668,231844
05000US08007,"Archuleta County, Colorado",12355,5382
05000US08009,"Baca County, Colorado",3648,1545
05000US08011,"Bent County, Colorado",5816,1720
05000US08013,"Boulder County, Colorado",313961,123669
05000US08014,"Broomfield County, Colorado",62449,24581
05000US08015,"Chaffee County, Colorado",18507,7736
05000US08017,"Cheyenne County, Colorado",2071,776
05000US08019,"Clear Creek County, Colorado",9238,4411
05000US08021,"Conejos County, Colorado",8213,2900
05000US08023,"Costilla County, Colorado",3590,1506
05000US08025,"Crowley County, Colorado",5537,1174
05000US08027,"Custer County, Colorado",4375,1950
05000US08029,"Delta County, Colorado",30221,12027
05000US08031,"Denver County, Colorado",663303,281072
05000US08033,"Dolores County, Colorado",1789,720
05000US08035,"Douglas County, Colorado",314238,114017
05000US08037,"Eagle County, Colorado",52894,17613
05000US08039,"Elbert County, Colorado",24225,8568
05000US08041,"El Paso County, Colorado",665171,249279
05000US08043,"Fremont County, Colorado",46835,16327
05000US08045,"Garfield County, Colorado",57495,20771
05000US08047,"Gilpin County, Colorado",5708,2508
05000US08049,"Grand County, Colorado",14490,5788
05000US08051,"Gunnison County, Colorado",15889,6577
05000US08053,"Hinsdale County, Colorado",856,401
05000US08055,"Huerfano County, Colorado",6521,3132
05000US08057,"Jackson County, Colorado",1306,616
05000US08059,"Jefferson County, Colorado",558810,225320
05000US08061,"Kiowa County, Colorado",1465,581
05000US08063,"Kit Carson County, Colorado",8174,2975
05000US08065,"Lake County, Colorado",7401,3121
05000US08067,"La Plata County, Colorado",53994,21605
05000US08069,"Larimer County, Colorado",325228,127067
05000US08071,"Las Animas County, Colorado",14322,6090
05000US08073,"Lincoln County, Colorado",5515,1502
05000US08075,"Logan County, Colorado",21862,8029
05000US08077,"Mesa County, Colorado",148166,59501
05000US08079,"Mineral County, Colorado",793,409
05000US08081,"Moffat County, Colorado",13034,4927
05000US08083,"Montezuma County, Colorado",26006,10305
05000US08085,"Montrose County, Colorado",40866,16587
05000US08087,"Morgan County, Colorado",28288,10493
05000US08089,"Otero County, Colorado",18440,7449
05000US08091,"Ouray County, Colorado",4651,2166
05000US08093,"Park County, Colorado",16440,7398
05000US08095,"Phillips County, Colorado",4347,1731
05000US08097,"Pitkin County, Colorado",17543,7601
05000US08099,"Prowers County, Colorado",12121,4897
05000US08101,"Pueblo County, Colorado",162158,62899
05000US08103,"Rio Blanco County, Colorado",6658,2450
05000US08105,"Rio Grande County, Colorado",11623,4582
05000US08107,"Routt County, Colorado",23980,9437
05000US08109,"Saguache County, Colorado",6255,2530
05000US08111,"San Juan County, Colorado",552,284
05000US08113,"San Miguel County, Colorado",7767,3258
05000US08115,"Sedgwick County, Colorado",2367,1012
05000US08117,"Summit County, Colorado",29269,9714
05000US08119,"Teller County, Colorado",23472,9762
05000US08121,"Washington County, Colorado",4814,2005
05000US08123,"Weld County, Colorado",278065,96616
05000US08125,"Yuma County, Colorado",10150,4009
05000US09001,"Fairfield County, Connecticut",941618,335209
05000US09003,"Hartford County, Connecticut",895699,347207
05000US09005,"Litchfield County, Connecticut",185141,74339
05000US09007,"Middlesex County, Connecticut",164438,66467
05000US09009,"New Haven County, Connecticut",860874,326487
05000US09011,"New London County, Connecticut",272033,106170
05000US09013,"Tolland County, Connecticut",151689,54573
05000US09015,"Windham County, Connecticut",117078,44261
05000US10001,"Kent County, Delaware",171474,62140
05000US10003,"New Castle County, Delaware",551997,202524
05000US10005,"Sussex County, Delaware",211224,83387
05000US11001,"District of Columbia, District of Columbia",659009,276546
05000US12001,"Alachua County, Florida",256581,96336
05000US12003,"Baker County, Florida",27312,8270
05000US12005,"Bay County, Florida",178361,67939
05000US12007,"Bradford County, Florida",26919,8704
05000US12009,"Brevard County, Florida",560683,224373
05000US12011,"Broward County, Florida",1863780,672988
05000US12013,"Calhoun County, Florida",14550,4555
05000US12015,"Charlotte County, Florida",169642,73299
05000US12017,"Citrus County, Florida",140453,61350
05000US12019,"Clay County, Florida",200346,70527
05000US12021,"Collier County, Florida",348236,133331
05000US12023,"Columbia County, Florida",68198,23911
05000US12027,"DeSoto County, Florida",35134,11419
05000US12029,"Dixie County, Florida",16084,6221
05000US12031,"Duval County, Florida",900890,341906
05000US12033,"Escambia County, Florida",309574,115984
05000US12035,"Flagler County, Florida",102917,38150
05000US12037,"Franklin County, Florida",11705,4250
05000US12039,"Gadsden County, Florida",46153,16885
05000US12041,"Gilchrist County, Florida",17033,6254
05000US12043,"Glades County, Florida",13420,4019
05000US12045,"Gulf County, Florida",15851,5349
05000US12047,"Hamilton County, Florida",14362,4717
05000US12049,"Hardee County, Florida",27302,7558
05000US12051,"Hendry County, Florida",38376,11817
05000US12053,"Hernando County, Florida",176797,70918
05000US12055,"Highlands County, Florida",98862,40500
05000US12057,"Hillsborough County, Florida",1323059,495841
05000US12059,"Holmes County, Florida",19569,6809
05000US12061,"Indian River County, Florida",145342,57829
05000US12063,"Jackson County, Florida",48721,16744
05000US12065,"Jefferson County, Florida",14082,5564
05000US12067,"Lafayette County, Florida",8742,2320
05000US12069,"Lake County, Florida",317586,122036
05000US12071,"Lee County, Florida",680970,258084
05000US12073,"Leon County, Florida",284788,111111
05000US12075,"Levy County, Florida",39707,15372
05000US12077,"Liberty County, Florida",8285,2363
05000US12079,"Madison County, Florida",18560,6665
05000US12081,"Manatee County, Florida",353411,135990
05000US12083,"Marion County, Florida",340341,132277
05000US12085,"Martin County, Florida",153592,62980
05000US12086,"Miami-Dade County, Florida",2664418,853624
05000US12087,"Monroe County, Florida",77150,29549
05000US12089,"Nassau County, Florida",77187,29214
05000US12091,"Okaloosa County, Florida",195798,76140
05000US12093,"Okeechobee County, Florida",39420,12850
05000US12095,"Orange County, Florida",1256055,444852
05000US12097,"Osceola County, Florida",311962,93324
05000US12099,"Palm Beach County, Florida",1398757,538549
05000US12101,"Pasco County, Florida",488310,189292
05000US12103,"Pinellas County, Florida",939548,405788
05000US12105,"Polk County, Florida",637691,223060
05000US12107,"Putnam County, Florida",72304,27306
05000US12109,"St. Johns County, Florida",218362,81308
05000US12111,"St. Lucie County, Florida",293136,108796
05000US12113,"Santa Rosa County, Florida",163903,59455
05000US12115,"Sarasota County, Florida",398011,175576
05000US12117,"Seminole County, Florida",442905,156216
05000US12119,"Sumter County, Florida",113589,49362
05000US12121,"Suwannee County, Florida",43653,15315
05000US12123,"Taylor County, Florida",22582,7544
05000US12125,"Union County, Florida",15159,3892
05000US12127,"Volusia County, Florida",510806,205310
05000US12129,"Wakulla County, Florida",31314,10726
05000US12131,"Walton County, Florida",61528,24329
05000US12133,"Washington County, Florida",24627,8370
05000US13001,"Appling County, Georgia",18410,6711
05000US13003,"Atkinson County, Georgia",8268,2717
05000US13005,"Bacon County, Georgia",11251,3871
05000US13007,"Baker County, Georgia",3250,1328
05000US13009,"Baldwin County, Georgia",45808,15880
05000US13011,"Banks County, Georgia",18336,6483
05000US13013,"Barrow County, Georgia",73340,24000
05000US13015,"Bartow County, Georgia",101942,36490
05000US13017,"Ben Hill County, Georgia",17405,6452
05000US13019,"Berrien County, Georgia",18986,7108
05000US13021,"Bibb County, Georgia",154194,57269
05000US13023,"Bleckley County, Georgia",12835,4081
05000US13025,"Brantley County, Georgia",18403,6423
05000US13027,"Brooks County, Georgia",15645,6482
05000US13029,"Bryan County, Georgia",34104,11788
05000US13031,"Bulloch County, Georgia",73141,26210
05000US13033,"Burke County, Georgia",22838,8082
05000US13035,"Butts County, Georgia",23479,7737
05000US13037,"Calhoun County, Georgia",6443,1852
05000US13039,"Camden County, Georgia",52092,18658
05000US13043,"Candler County, Georgia",10962,4026
05000US13045,"Carroll County, Georgia",113756,40287
05000US13047,"Catoosa County, Georgia",65645,24099
05000US13049,"Charlton County, Georgia",12968,3474
05000US13051,"Chatham County, Georgia",282613,106749
05000US13053,"Chattahoochee County, Georgia",11882,2578
05000US13055,"Chattooga County, Georgia",25046,9361
05000US13057,"Cherokee County, Georgia",230629,80378
05000US13059,"Clarke County, Georgia",122037,44901
05000US13061,"Clay County, Georgia",3068,1160
05000US13063,"Clayton County, Georgia",270269,90182
05000US13065,"Clinch County, Georgia",6814,2524
05000US13067,"Cobb County, Georgia",728388,271975
05000US13069,"Coffee County, Georgia",43042,14110
05000US13071,"Colquitt County, Georgia",46002,15380
05000US13073,"Columbia County, Georgia",139904,45623
05000US13075,"Cook County, Georgia",17103,5979
05000US13077,"Coweta County, Georgia",135625,49457
05000US13079,"Crawford County, Georgia",12483,4643
05000US13081,"Crisp County, Georgia",23061,8509
05000US13083,"Dade County, Georgia",16356,6057
05000US13085,"Dawson County, Georgia",22939,8522
05000US13087,"Decatur County, Georgia",27237,10438
05000US13089,"DeKalb County, Georgia",723902,270903
05000US13091,"Dodge County, Georgia",20995,7987
05000US13093,"Dooly County, Georgia",14089,5140
05000US13095,"Dougherty County, Georgia",92326,35156
05000US13097,"Douglas County, Georgia",138283,47534
05000US13099,"Early County, Georgia",10480,4023
05000US13101,"Echols County, Georgia",4025,1423
05000US13103,"Effingham County, Georgia",55852,18695
05000US13105,"Elbert County, Georgia",19394,7611
05000US13107,"Emanuel County, Georgia",22723,8227
05000US13109,"Evans County, Georgia",10733,3950
05000US13111,"Fannin County, Georgia",24017,9927
05000US13113,"Fayette County, Georgia",109495,38933
05000US13115,"Floyd County, Georgia",96199,35114
05000US13117,"Forsyth County, Georgia",203841,66500
05000US13119,"Franklin County, Georgia",22188,8260
05000US13121,"Fulton County, Georgia",996757,385103
05000US13123,"Gilmer County, Georgia",28956,11131
05000US13125,"Glascock County, Georgia",3053,1105
05000US13127,"Glynn County, Georgia",82623,32623
05000US13129,"Gordon County, Georgia",56079,19779
05000US13131,"Grady County, Georgia",25145,9165
05000US13133,"Greene County, Georgia",16535,6673
05000US13135,"Gwinnett County, Georgia",874242,278996
05000US13137,"Habersham County, Georgia",43724,14856
05000US13139,"Hall County, Georgia",190482,62327
05000US13141,"Hancock County, Georgia",8747,2813
05000US13143,"Haralson County, Georgia",28667,10886
05000US13145,"Harris County, Georgia",32992,11699
05000US13147,"Hart County, Georgia",25518,10016
05000US13149,"Heard County, Georgia",11571,4364
05000US13151,"Henry County, Georgia",214171,71000
05000US13153,"Houston County, Georgia",149137,54188
05000US13155,"Irwin County, Georgia",9365,3279
05000US13157,"Jackson County, Georgia",62131,21115
05000US13159,"Jasper County, Georgia",13571,5154
05000US13161,"Jeff Davis County, Georgia",14953,5216
05000US13163,"Jefferson County, Georgia",16201,5855
05000US13165,"Jenkins County, Georgia",9055,3554
05000US13167,"Johnson County, Georgia",9694,3168
05000US13169,"Jones County, Georgia",28701,10367
05000US13171,"Lamar County, Georgia",18195,6287
05000US13173,"Lanier County, Georgia",10382,3733
05000US13175,"Laurens County, Georgia",47802,17622
05000US13177,"Lee County, Georgia",29134,10126
05000US13179,"Liberty County, Georgia",63949,22780
05000US13181,"Lincoln County, Georgia",7712,3457
05000US13183,"Long County, Georgia",17243,5173
05000US13185,"Lowndes County, Georgia",113898,39809
05000US13187,"Lumpkin County, Georgia",31094,11255
05000US13189,"McDuffie County, Georgia",21558,8067
05000US13191,"McIntosh County, Georgia",13941,5207
05000US13193,"Macon County, Georgia",13846,4546
05000US13195,"Madison County, Georgia",28362,10348
05000US13197,"Marion County, Georgia",8646,3021
05000US13199,"Meriwether County, Georgia",21195,7982
05000US13201,"Miller County, Georgia",5911,2251
05000US13205,"Mitchell County, Georgia",22778,8041
05000US13207,"Monroe County, Georgia",27044,9589
05000US13209,"Montgomery County, Georgia",9005,3149
05000US13211,"Morgan County, Georgia",17943,6648
05000US13213,"Murray County, Georgia",39358,14266
05000US13215,"Muscogee County, Georgia",200303,73449
05000US13217,"Newton County, Georgia",103901,35090
05000US13219,"Oconee County, Georgia",35071,12288
05000US13221,"Oglethorpe County, Georgia",14743,5723
05000US13223,"Paulding County, Georgia",149830,50017
05000US13225,"Peach County, Georgia",26907,9966
05000US13227,"Pickens County, Georgia",29992,11377
05000US13229,"Pierce County, Georgia",19030,6947
05000US13231,"Pike County, Georgia",17843,6026
05000US13233,"Polk County, Georgia",41263,14868
05000US13235,"Pulaski County, Georgia",11460,3829
05000US13237,"Putnam County, Georgia",21259,8322
05000US13239,"Quitman County, Georgia",2095,916
05000US13241,"Rabun County, Georgia",16312,6629
05000US13243,"Randolph County, Georgia",7224,2819
05000US13245,"Richmond County, Georgia",201418,72470
05000US13247,"Rockdale County, Georgia",87569,29940
05000US13249,"Schley County, Georgia",5089,1895
05000US13251,"Screven County, Georgia",14114,5214
05000US13253,"Seminole County, Georgia",8696,3312
05000US13255,"Spalding County, Georgia",64006,22914
05000US13257,"Stephens County, Georgia",25584,9189
05000US13259,"Stewart County, Georgia",5791,1775
05000US13261,"Sumter County, Georgia",31070,11698
05000US13263,"Talbot County, Georgia",6373,2729
05000US13265,"Taliaferro County, Georgia",1904,748
05000US13267,"Tattnall County, Georgia",25260,7899
05000US13269,"Taylor County, Georgia",8354,3368
05000US13271,"Telfair County, Georgia",16405,5110
05000US13273,"Terrell County, Georgia",9132,3312
05000US13275,"Thomas County, Georgia",44977,17269
05000US13277,"Tift County, Georgia",40691,14451
05000US13279,"Toombs County, Georgia",27160,10376
05000US13281,"Towns County, Georgia",10976,4611
05000US13283,"Treutlen County, Georgia",6711,2586
05000US13285,"Troup County, Georgia",69314,24619
05000US13287,"Turner County, Georgia",8151,3071
05000US13289,"Twiggs County, Georgia",8363,2887
05000US13291,"Union County, Georgia",22033,8873
05000US13293,"Upson County, Georgia",26394,10078
05000US13295,"Walker County, Georgia",68143,25581
05000US13297,"Walton County, Georgia",87436,30048
05000US13299,"Ware County, Georgia",35671,13847
05000US13301,"Warren County, Georgia",5504,2204
05000US13303,"Washington County, Georgia",20680,7381
05000US13305,"Wayne County, Georgia",30006,10016
05000US13307,"Webster County, Georgia",2672,1025
05000US13309,"Wheeler County, Georgia",7932,2065
05000US13311,"White County, Georgia",28140,11016
05000US13313,"Whitfield County, Georgia",103653,34814
05000US13315,"Wilcox County, Georgia",8884,2698
05000US13317,"Wilkes County, Georgia",9924,3975
05000US13319,"Wilkinson County, Georgia",9312,3297
05000US13321,"Worth County, Georgia",20988,7873
05000US15001,"Hawaii County, Hawaii",193680,66094
05000US15003,"Honolulu County, Hawaii",986999,309548
05000US15005,"Kalawao County, Hawaii",91,55
05000US15007,"Kauai County, Hawaii",70447,22430
05000US15009,"Maui County, Hawaii",162456,53903
05000US16001,"Ada County, Idaho",425798,160398
05000US16003,"Adams County, Idaho",3865,1655
05000US16005,"Bannock County, Idaho",83815,30424
05000US16007,"Bear Lake County, Idaho",5928,2395
05000US16009,"Benewah County, Idaho",9068,3592
05000US16011,"Bingham County, Idaho",45261,14712
05000US16013,"Blaine County, Idaho",21427,8708
05000US16015,"Boise County, Idaho",6891,2994
05000US16017,"Bonner County, Idaho",41389,17109
05000US16019,"Bonneville County, Idaho",108989,37138
05000US16021,"Boundary County, Idaho",11141,4393
05000US16023,"Butte County, Idaho",2592,1061
05000US16025,"Camas County, Idaho",968,379
05000US16027,"Canyon County, Idaho",202782,67155
05000US16029,"Caribou County, Idaho",6813,2553
05000US16031,"Cassia County, Idaho",23441,7717
05000US16033,"Clark County, Idaho",960,287
05000US16035,"Clearwater County, Idaho",8528,3668
05000US16037,"Custer County, Idaho",4185,1801
05000US16039,"Elmore County, Idaho",26103,9832
05000US16041,"Franklin County, Idaho",13013,4226
05000US16043,"Fremont County, Idaho",12896,4466
05000US16045,"Gem County, Idaho",16853,6287
05000US16047,"Gooding County, Idaho",15157,5476
05000US16049,"Idaho County, Idaho",16251,6443
05000US16051,"Jefferson County, Idaho",27096,8150
05000US16053,"Jerome County, Idaho",22694,7647
05000US16055,"Kootenai County, Idaho",147716,57213
05000US16057,"Latah County, Idaho",38593,15218
05000US16059,"Lemhi County, Idaho",7743,3698
05000US16061,"Lewis County, Idaho",3826,1624
05000US16063,"Lincoln County, Idaho",5292,1596
05000US16065,"Madison County, Idaho",38114,10508
