countyid,blockgroups,tracts
15000US15007,55,17
15000US15001,122,50
15000US15003,590,244
15000US72057,32,10
15000US15009,102,38
15000US19013,100,38
15000US19011,20,7
15000US19017,19,8
15000US19015,18,7
15000US72059,15,6
15000US19019,18,6
15000US37171,58,22
15000US37173,11,5
15000US21069,10,4
15000US37175,24,7
15000US37177,4,1
15000US21065,11,4
15000US37179,102,41
15000US21067,207,82
15000US21061,10,4
15000US21063,7,2
15000US19193,107,26
15000US31161,5,2
15000US31163,2,1
15000US31165,1,1
15000US31167,5,2
15000US31169,4,2
15000US51023,23,8
15000US51025,14,5
15000US25007,20,5
15000US25005,389,126
15000US51021,5,2
15000US25003,142,39
15000US25001,195,57
15000US48341,14,4
15000US48343,13,3
15000US48345,1,1
15000US25009,545,163
15000US51027,23,7
15000US05079,8,4
15000US48189,29,9
15000US48187,73,29
15000US05075,17,6
15000US48185,17,6
15000US05077,10,4
15000US48183,94,25
15000US05071,17,6
15000US48181,91,26
15000US05073,7,2
15000US29065,11,4
15000US29067,10,3
15000US29061,7,2
15000US28095,27,9
15000US29063,9,2
15000US42131,21,7
15000US42133,321,90
15000US29069,32,10
15000US46127,8,3
15000US46125,7,2
15000US46123,4,2
15000US46121,6,2
15000US28099,23,7
15000US46129,5,2
15000US51735,10,4
15000US48235,1,1
15000US48237,5,2
15000US48231,60,19
15000US51730,27,11
15000US48233,21,7
15000US48239,10,3
15000US27159,16,3
15000US02261,10,3
15000US16059,7,3
15000US27153,24,8
15000US16057,30,7
15000US27151,11,4
15000US16055,65,25
15000US27157,18,6
15000US16053,14,5
15000US27155,4,2
15000US16051,13,4
15000US42045,436,144
15000US42047,26,8
15000US42041,150,49
15000US42043,189,65
15000US48413,2,1
15000US42049,232,72
15000US51057,8,3
15000US31185,10,4
15000US31183,0,0
15000US31181,3,2
15000US28009,6,2
15000US28001,30,9
15000US28003,26,7
15000US28005,13,3
15000US28007,16,6
15000US72143,22,8
15000US72141,22,8
15000US72147,6,3
15000US72145,37,14
15000US72149,16,6
15000US27085,27,7
15000US27087,4,2
15000US27081,4,2
15000US27083,23,7
15000US38019,4,2
15000US39019,24,7
15000US38017,95,33
15000US38015,54,19
15000US27089,11,4
15000US38013,1,1
15000US38011,3,2
15000US06031,80,27
15000US06033,47,15
15000US06035,24,9
15000US06037,6424,2346
15000US06039,79,23
15000US02068,1,1
15000US19093,6,3
15000US47003,24,9
15000US18047,15,5
15000US18045,18,5
15000US18043,58,20
15000US18041,25,7
15000US17099,104,28
15000US18049,21,6
15000US49001,5,2
15000US55131,82,28
15000US49003,39,11
15000US55133,298,86
15000US49005,76,26
15000US55135,40,12
15000US49007,13,5
15000US55137,20,7
15000US49009,0,0
15000US55139,130,41
15000US72031,124,42
15000US72037,10,5
15000US72035,30,11
15000US39169,82,32
15000US26111,64,19
15000US45061,16,7
15000US26113,12,4
15000US45067,30,8
15000US26115,122,39
15000US45065,7,2
15000US26117,47,13
15000US39161,27,9
15000US26119,10,5
15000US39163,11,3
15000US39165,107,33
15000US37051,194,68
15000US39167,46,16
15000US12113,77,26
15000US12111,140,44
15000US12117,234,86
15000US12115,251,95
15000US37057,107,34
15000US12119,40,19
15000US48415,13,4
15000US37055,31,11
15000US56031,8,2
15000US56033,20,6
15000US48417,3,1
15000US56037,33,12
15000US55049,19,6
15000US08121,4,2
15000US48411,4,2
15000US08123,174,77
15000US36007,203,55
15000US08125,8,2
15000US37059,24,7
15000US49057,144,50
15000US22055,129,43
15000US22057,68,24
15000US22051,330,127
15000US26029,25,14
15000US22053,25,7
15000US48437,7,3
15000US26025,116,39
15000US48435,3,1
15000US26027,45,11
15000US22059,13,3
15000US26021,143,49
15000US48431,0,0
15000US26023,41,12
15000US13223,45,19
15000US13221,8,4
15000US13227,16,6
15000US26003,7,4
15000US13229,11,4
15000US30001,7,3
15000US30003,10,5
15000US26001,11,6
15000US30005,7,4
15000US30007,3,2
15000US30009,10,5
15000US26007,33,10
15000US05081,12,4
15000US05083,16,6
15000US05085,37,16
15000US05087,12,4
15000US36005,1153,339
15000US05089,13,4
15000US13247,45,15
15000US08015,14,5
15000US08014,45,18
15000US08017,2,1
15000US08011,4,1
15000US08013,199,68
15000US08019,5,3
15000US36023,46,12
15000US39139,94,30
15000US51113,6,2
15000US51111,8,3
15000US51117,27,9
15000US51115,7,3
15000US21125,36,13
15000US21127,13,5
15000US21121,26,8
15000US21123,11,3
15000US19027,22,6
15000US19025,10,4
15000US19023,13,5
15000US19021,14,6
15000US36003,43,12
15000US39015,31,9
15000US39017,266,80
15000US37163,44,11
15000US21019,36,12
15000US37161,51,13
15000US37167,45,13
15000US37165,26,7
15000US21011,8,3
15000US37169,30,9
15000US21013,25,9
15000US21015,57,22
15000US21017,17,6
15000US36001,234,75
15000US21231,16,5
15000US21233,12,4
15000US21235,28,8
15000US21237,6,2
15000US21239,15,8
15000US53045,48,13
15000US53043,10,4
15000US53041,61,20
15000US05069,70,23
15000US05067,16,5
15000US05065,9,4
15000US05063,27,8
15000US05061,11,3
15000US29011,11,3
15000US42129,237,99
15000US29013,13,4
15000US02060,1,1
15000US29017,10,3
15000US42123,43,13
15000US29019,86,29
15000US42121,50,16
15000US42127,44,14
15000US42125,162,59
15000US46111,2,1
15000US46117,1,1
15000US46115,6,3
15000US46119,1,1
15000US53069,4,1
15000US48281,14,5
15000US48033,0,0
15000US48409,44,16
15000US48241,26,8
15000US48243,1,1
15000US48245,206,73
15000US48247,3,2
15000US48249,30,7
15000US16049,14,5
15000US27167,7,2
15000US02275,3,1
15000US27165,11,3
15000US27163,136,50
15000US27161,14,5
15000US16041,9,2
15000US29125,6,3
15000US16043,12,3
15000US29127,28,8
15000US16045,11,3
15000US29121,16,5
15000US16047,12,2
15000US27169,37,10
15000US42057,10,3
15000US51683,24,7
15000US42055,88,27
15000US42053,7,3
15000US42051,97,36
15000US51685,7,2
15000US42059,36,9
15000US28019,8,3
15000US28013,13,5
15000US28011,27,8
15000US28017,14,4
15000US28015,8,2
15000US72151,23,9
15000US72153,27,11
15000US54091,20,4
15000US54093,7,3
15000US54095,9,3
15000US54097,18,6
15000US54099,35,10
15000US48037,73,18
15000US38009,6,3
15000US38001,2,1
15000US38003,12,4
15000US38005,7,4
15000US38007,0,0
15000US48047,6,2
15000US02070,5,2
15000US48035,14,7
15000US02090,61,19
15000US48403,9,3
15000US29049,16,4
15000US28065,11,3
15000US29047,151,44
15000US29510,359,106
15000US18073,24,7
15000US18071,34,10
15000US18077,23,7
15000US18075,22,7
15000US18079,16,6
15000US55123,25,7
15000US22115,43,12
15000US55121,21,8
15000US22117,29,11
15000US55127,85,22
15000US22111,18,6
15000US55125,15,5
15000US22113,43,13
15000US45057,45,14
15000US55129,14,5
15000US45055,42,15
15000US72029,30,12
15000US22119,38,11
15000US45051,148,72
15000US26103,60,25
15000US26101,27,10
15000US26107,32,11
15000US26105,26,9
15000US12129,14,5
15000US12127,288,114
15000US26109,20,8
15000US12125,8,3
15000US12123,19,5
15000US12121,25,7
15000US17155,7,2
15000US17157,32,9
15000US17151,3,2
15000US17153,7,2
15000US51800,74,28
15000US17159,13,5
15000US56029,20,5
15000US47009,77,28
15000US56023,12,4
15000US56021,68,21
15000US35049,101,50
15000US56027,2,1
15000US56025,47,18
15000US55059,127,36
15000US55057,23,7
15000US55055,57,20
15000US55053,15,5
15000US55051,7,4
15000US22021,8,3
15000US22023,8,3
15000US13239,1,1
15000US22025,7,3
15000US26039,12,5
15000US22027,15,5
15000US13235,8,3
15000US22029,17,5
15000US13237,16,5
15000US48401,40,13
15000US13231,7,4
15000US48407,14,4
15000US13233,31,7
15000US48405,7,3
15000US72027,19,8
15000US33001,48,15
15000US33003,39,11
15000US33005,58,16
15000US33007,35,11
15000US33009,69,19
15000US47109,18,7
15000US08061,1,1
15000US08063,7,3
15000US08065,7,2
15000US08067,32,10
15000US08069,191,73
15000US51105,23,6
15000US51107,162,65
15000US51101,9,4
15000US51103,12,4
15000US48129,3,2
15000US51109,16,6
15000US30057,6,3
15000US19039,7,3
15000US17095,57,16
15000US21135,10,4
15000US21133,26,7
15000US21131,11,3
15000US19031,19,5
15000US30101,7,3
15000US19033,41,11
15000US30103,0,0
15000US19035,13,4
15000US17097,401,154
15000US19037,13,4
15000US30107,1,1
15000US17091,83,29
15000US48127,6,2
15000US36017,50,12
15000US17093,38,10
15000US37159,93,30
15000US37157,68,21
15000US37155,87,31
15000US37153,40,11
15000US37151,85,28
15000US21009,33,10
15000US21003,14,6
15000US21001,14,7
15000US21007,7,3
15000US21005,12,5
15000US55035,68,20
15000US21223,5,2
15000US21221,10,5
15000US21227,73,24
15000US21225,12,4
15000US47189,60,21
15000US25025,645,204
15000US47187,80,37
15000US21229,8,3
15000US47185,16,6
15000US25021,473,130
15000US47183,24,10
15000US25023,359,101
15000US36011,75,20
15000US51053,19,7
15000US05059,23,7
15000US05053,12,4
15000US05051,69,20
15000US05057,19,5
15000US05055,25,9
15000US29003,13,4
15000US42117,34,10
15000US29001,24,7
15000US42115,39,11
15000US29007,23,7
15000US42113,5,2
15000US29005,6,2
15000US42111,71,21
15000US46105,2,1
15000US29009,28,7
15000US46101,5,2
15000US46103,66,23
15000US42119,28,10
15000US36025,54,14
15000US54057,19,7
15000US72033,28,18
15000US36013,121,36
15000US36027,247,79
15000US54051,32,9
15000US36021,60,21
15000US48253,15,6
15000US20197,7,2
15000US48251,96,28
15000US20195,4,1
15000US48257,58,18
15000US20193,6,2
15000US48255,11,4
15000US20191,25,6
15000US48259,20,6
15000US21187,8,3
15000US20199,1,1
15000US27171,64,17
15000US45063,161,74
15000US02240,5,2
15000US29139,13,4
15000US29137,10,3
15000US27131,42,13
15000US29135,11,4
15000US29133,12,4
15000US48501,5,1
15000US29131,20,5
15000US42063,69,23
15000US42061,39,12
15000US20179,3,2
15000US42065,43,13
15000US20175,16,5
15000US20177,134,43
15000US20171,5,1
15000US20173,368,124
15000US51007,8,2
15000US48505,8,3
15000US28027,23,7
15000US28025,16,5
15000US28023,15,4
15000US28021,8,3
15000US40027,172,61
15000US45069,23,7
15000US28029,23,6
15000US72129,20,9
15000US72121,16,6
15000US72123,22,8
15000US72125,22,7
15000US72127,368,131
15000US54083,26,7
15000US54081,56,17
15000US54087,15,4
15000US54085,9,3
15000US51650,97,34
15000US54089,11,4
15000US22087,49,18
15000US51740,79,31
15000US17001,60,18
15000US32033,8,3
15000US12051,24,7
15000US48025,23,7
15000US38101,49,13
15000US38103,4,2
15000US38105,17,7
15000US19059,14,5
15000US55119,16,6
15000US55117,67,27
15000US55115,29,11
15000US55113,17,6
15000US55111,37,13
15000US22107,5,3
15000US72051,19,8
15000US22105,65,20
15000US72053,27,10
15000US22103,125,43
15000US72055,16,8
15000US22101,45,17
15000US26139,154,54
15000US45041,106,32
15000US26137,17,6
15000US45043,45,15
15000US26135,10,5
15000US45045,254,111
15000US26133,24,6
15000US22109,77,22
15000US26131,8,4
15000US48027,189,65
15000US12131,44,12
15000US19053,7,3
15000US12133,14,6
15000US51595,6,2
15000US51590,38,16
15000US17147,16,4
15000US17145,21,6
15000US17143,140,47
15000US17141,43,11
15000US53073,101,34
15000US17149,19,5
15000US56017,3,2
15000US56015,11,4
15000US56013,30,10
15000US56011,4,2
15000US56019,4,1
15000US55069,25,10
15000US22081,7,2
15000US55063,85,25
15000US55061,17,5
15000US55067,20,6
15000US55065,15,5
15000US22033,302,91
15000US13249,2,2
15000US22031,21,7
15000US26009,22,8
15000US22037,15,5
15000US22035,7,3
15000US13241,12,5
15000US22039,29,8
15000US13243,6,2
15000US48419,19,6
15000US13245,139,47
15000US26005,75,25
15000US18069,32,9
15000US13089,389,144
15000US18065,43,13
15000US13087,20,7
15000US18067,65,20
15000US13085,9,3
15000US18061,22,6
15000US13083,7,4
15000US18063,64,21
15000US13081,19,6
15000US48399,11,4
15000US33013,100,36
15000US33011,269,86
15000US33017,76,25
15000US01039,37,14
15000US33015,181,66
15000US55045,31,8
15000US01035,11,5
15000US33019,37,10
15000US01037,10,3
15000US01031,32,14
15000US01033,45,14
15000US08073,4,2
15000US37035,94,31
15000US08071,16,6
15000US55047,19,6
15000US08077,87,29
15000US08075,15,5
15000US08079,0,0
15000US37037,34,13
15000US55041,9,4
15000US51171,25,9
15000US51173,27,9
15000US51175,9,5
15000US51177,70,30
15000US37031,71,38
15000US55043,45,12
15000US21103,13,5
15000US21101,31,10
15000US21107,40,12
15000US21105,5,1
15000US30111,111,32
15000US21109,9,3
15000US46037,5,3
15000US48087,3,1
15000US48085,472,152
15000US48083,10,3
15000US48081,3,2
15000US48089,17,5
15000US37149,11,7
15000US48439,1176,357
15000US37181,32,10
15000US37141,31,16
15000US37039,20,7
15000US37143,11,3
15000US37145,25,7
15000US37147,95,32
15000US21037,70,25
15000US21035,30,9
15000US21033,11,3
15000US21031,8,5
15000US51005,14,6
15000US37133,95,32
15000US51001,32,12
15000US21039,4,2
15000US21219,8,4
15000US21217,20,5
15000US21215,8,4
15000US21213,13,4
15000US21211,27,9
15000US46075,0,0
15000US48393,0,0
15000US48391,7,2
15000US48397,29,11
15000US48395,13,5
15000US04021,198,75
15000US04023,32,10
15000US04025,113,42
15000US04027,141,55
15000US05045,59,25
15000US46079,8,3
15000US05047,12,3
15000US05041,13,5
15000US05043,17,5
15000US11001,449,179
15000US05049,11,2
15000US42101,1335,384
15000US31087,3,1
15000US42103,42,18
15000US31085,0,0
15000US42105,15,5
15000US31083,2,1
15000US42107,134,40
15000US31081,8,3
15000US42109,29,8
15000US13225,11,5
15000US31089,11,4
15000US53055,13,5
15000US39115,14,4
15000US47071,18,6
15000US56039,13,4
15000US39117,22,6
15000US53027,61,17
15000US48269,0,0
15000US48267,4,2
15000US48265,32,10
15000US48263,0,0
15000US39111,15,4
15000US20181,7,2
15000US20183,4,2
15000US20185,3,2
15000US48069,6,3
15000US20187,1,1
15000US20189,4,1
15000US48065,5,2
15000US39113,419,153
15000US48061,224,87
15000US48063,8,3
15000US29109,30,7
15000US42079,282,104
15000US42075,84,31
15000US29103,4,2
15000US42077,245,76
15000US29101,34,9
15000US42071,325,98
15000US29107,29,7
15000US42073,76,28
15000US29105,27,6
15000US46005,16,6
15000US46007,3,2
15000US20169,44,12
15000US46003,3,1
15000US20167,8,2
15000US20165,3,2
15000US20163,4,2
15000US46009,4,2
15000US20161,47,14
15000US53021,48,13
15000US38031,2,1
15000US28031,12,4
15000US28033,65,33
15000US38033,1,1
15000US28035,52,17
15000US28037,7,2
15000US29039,13,3
15000US28039,12,5
15000US29037,56,20
15000US29035,5,2
15000US29033,10,3
15000US29031,55,16
15000US72139,41,15
15000US72133,15,6
15000US72131,24,9
15000US38037,1,1
15000US72137,59,26
15000US72135,33,13
15000US53059,9,4
15000US31069,1,1
15000US31065,5,1
15000US51770,75,23
15000US31067,21,7
15000US31061,3,2
15000US31063,2,1
15000US53037,24,8
15000US53035,163,55
15000US17183,65,24
15000US53033,1421,398
15000US17181,15,5
15000US06081,462,158
15000US06083,312,90
15000US06085,1074,372
15000US06087,195,53
15000US17187,21,5
15000US48261,1,1
15000US22097,65,19
15000US55109,45,14
15000US55101,166,44
15000US55103,15,5
15000US55105,117,37
15000US55107,14,5
15000US26129,20,7
15000US72041,23,10
15000US72047,19,6
15000US72045,12,5
15000US26121,137,43
15000US26123,32,11
15000US26125,933,338
15000US26127,22,8
15000US48067,27,7
15000US51580,6,2
15000US17173,24,6
15000US17171,4,2
15000US17177,48,13
15000US17175,7,2
15000US17179,85,30
15000US72097,69,27
15000US56001,27,10
15000US18125,12,4
15000US56003,8,3
15000US18127,85,33
15000US56005,24,7
15000US18121,18,4
15000US56007,14,5
15000US18123,16,5
15000US56009,10,4
15000US18129,23,7
15000US55075,41,13
15000US55077,13,5
15000US55071,74,20
15000US55073,102,27
15000US22009,31,9
15000US22007,16,6
15000US22005,41,14
15000US55079,858,298
15000US22003,17,5
15000US22001,46,12
15000US26015,43,11
15000US48461,2,1
15000US26017,92,26
15000US48463,17,5
15000US26011,18,7
15000US48465,33,10
15000US26013,7,3
15000US48467,36,10
15000US13253,8,3
15000US48469,64,23
15000US13251,13,5
15000US26019,13,6
15000US51051,15,4
15000US13255,34,12
15000US13099,12,5
15000US18019,73,26
15000US51119,11,5
