countyid,blockgroups,tracts
15000US18143,17,5
15000US13321,14,5
15000US18141,226,75
15000US53049,19,8
15000US39133,100,35
15000US39131,21,6
15000US39137,26,7
15000US18149,21,7
15000US41045,30,7
15000US21137,18,6
15000US41047,191,58
15000US41041,39,18
15000US41043,84,21
15000US30109,0,0
15000US41049,10,2
15000US01131,11,3
15000US01133,22,7
15000US47015,9,3
15000US51079,9,3
15000US47017,22,8
15000US51071,14,4
15000US51073,23,8
15000US39009,47,15
15000US51075,13,5
15000US51077,16,5
15000US47011,54,19
15000US13143,16,5
15000US13141,6,2
15000US13147,18,5
15000US13145,15,5
15000US13149,7,3
15000US47013,31,11
15000US47107,33,10
15000US47105,30,10
15000US47103,23,9
15000US47101,6,2
15000US30105,7,3
15000US19123,20,7
15000US30053,16,5
15000US19121,11,3
15000US30051,1,1
15000US19127,40,10
15000US21139,8,2
15000US19125,27,8
15000US30055,1,1
15000US48125,2,1
15000US19129,12,5
15000US30059,1,1
15000US48121,377,137
15000US48123,16,5
15000US40029,5,2
15000US40021,31,9
15000US40023,16,5
15000US40025,3,2
15000US19135,7,3
15000US40151,9,3
15000US40153,18,5
15000US21195,61,19
15000US21197,10,2
15000US17089,273,82
15000US21191,10,3
15000US21193,24,8
15000US19057,42,11
15000US19055,17,4
15000US21199,42,14
15000US19051,7,2
15000US48019,11,5
15000US05129,9,3
15000US48011,2,1
15000US05127,8,3
15000US48013,24,8
15000US05125,60,21
15000US48015,19,6
15000US05123,26,6
15000US48017,5,1
15000US05121,15,4
15000US72025,115,33
15000US37139,25,10
15000US37135,74,27
15000US37137,12,5
15000US37131,21,5
15000US29187,42,11
15000US46071,3,2
15000US46073,1,1
15000US31129,4,2
15000US46077,5,2
15000US47079,27,9
15000US31125,4,1
15000US47077,18,6
15000US31127,7,2
15000US47075,14,6
15000US31121,7,3
15000US47073,35,13
15000US31123,4,1
15000US18059,36,10
15000US55021,43,12
15000US29089,9,3
15000US48207,5,2
15000US53039,18,3
15000US49017,3,2
15000US29083,20,6
15000US29081,10,3
15000US29087,5,3
15000US29085,8,3
15000US48201,2143,786
15000US48305,3,2
15000US38067,9,5
15000US48307,9,3
15000US48301,0,0
15000US48303,203,68
15000US48221,29,10
15000US48309,164,51
15000US49013,11,3
15000US28045,32,8
15000US27069,6,2
15000US28047,135,45
15000US28041,8,2
15000US28043,16,5
15000US27063,12,4
15000US27061,40,11
15000US27067,33,12
15000US28049,184,64
15000US27065,13,4
15000US31019,37,11
15000US20001,12,4
15000US20003,6,2
15000US20005,15,4
15000US20007,5,2
15000US31011,6,2
15000US20009,29,8
15000US31013,11,3
15000US53077,148,45
15000US31015,1,1
15000US31017,1,1
15000US35061,50,17
15000US28139,15,4
15000US28131,8,3
15000US28133,24,7
15000US48353,16,5
15000US28135,11,4
15000US28137,15,5
15000US02020,213,55
15000US27117,10,5
15000US27115,19,8
15000US16019,67,21
15000US27113,13,5
15000US27111,53,17
15000US16013,12,4
15000US16011,29,8
15000US16017,34,9
15000US27119,31,10
15000US16015,3,1
15000US42081,112,29
15000US42083,33,12
15000US72023,33,12
15000US42085,110,30
15000US46099,119,42
15000US42087,37,12
15000US46097,2,1
15000US42089,93,33
15000US46095,1,1
15000US51678,5,1
15000US46093,16,5
15000US46091,2,1
15000US06101,61,21
15000US06103,42,11
15000US06105,12,5
15000US02150,9,5
15000US45079,244,89
15000US06109,47,11
15000US54001,15,4
15000US54007,12,3
15000US02158,3,1
15000US51510,105,38
15000US50025,47,18
15000US50027,54,18
15000US50021,59,20
15000US50023,52,19
15000US39105,22,6
15000US18021,26,6
15000US39059,34,10
15000US38061,5,2
15000US39055,64,21
15000US39057,111,35
15000US39051,30,9
15000US18023,31,8
15000US39053,24,7
15000US24029,19,6
15000US06079,162,54
15000US06075,580,197
15000US18025,8,3
15000US06077,394,139
15000US24021,189,61
15000US06071,1091,369
15000US24027,153,55
15000US06073,1794,628
15000US24025,166,57
15000US48499,27,10
15000US12069,147,56
15000US48495,8,3
15000US48497,34,11
15000US48491,242,89
15000US48493,28,11
15000US26083,3,3
15000US26081,388,128
15000US26087,63,24
15000US26085,11,4
15000US26089,16,7
15000US36079,68,19
15000US13007,3,2
15000US17079,12,3
15000US13005,8,3
15000US13003,5,3
15000US13001,13,5
15000US17073,51,13
15000US17071,8,3
15000US17077,52,14
15000US17075,31,9
15000US13009,30,9
15000US12023,39,12
15000US12021,192,74
15000US12027,25,9
15000US12061,92,31
15000US12029,12,4
15000US24510,652,200
15000US18083,42,10
15000US53051,13,5
15000US18081,73,22
15000US18087,23,8
15000US18085,57,19
15000US21183,19,7
15000US49045,31,11
15000US18089,361,118
15000US49041,15,5
15000US25027,559,172
15000US49043,35,13
15000US21181,5,2
15000US26159,66,16
15000US45029,30,10
15000US45027,29,12
15000US26155,55,17
15000US45025,32,10
15000US26157,49,14
15000US45023,30,11
15000US26151,41,13
15000US45021,40,13
15000US26153,6,4
15000US18151,30,9
15000US13313,70,18
15000US18153,19,5
15000US13311,11,5
15000US18155,7,3
15000US13317,10,4
15000US18157,101,37
15000US13315,5,4
15000US18159,16,4
15000US21185,35,14
15000US39129,35,13
15000US41031,15,6
15000US41033,53,16
15000US41035,66,20
15000US41037,8,2
15000US41039,257,87
15000US44009,93,30
15000US51085,54,23
15000US51087,170,64
15000US51081,5,3
15000US13179,31,15
15000US13177,12,5
15000US13175,35,13
15000US13173,6,2
15000US13171,11,3
15000US36099,36,10
15000US48007,18,6
15000US36095,32,8
15000US36097,18,5
15000US36091,138,50
15000US36093,137,43
15000US47111,12,4
15000US21055,9,4
15000US47113,69,27
15000US21057,7,2
15000US30049,50,14
15000US21051,18,6
15000US47117,18,6
15000US21053,6,3
15000US30045,1,1
15000US19117,9,4
15000US30047,24,7
15000US19115,11,3
15000US30041,18,6
15000US21059,67,23
15000US30043,9,3
15000US19111,33,11
15000US34035,180,68
15000US34037,107,41
15000US34031,364,100
15000US34033,49,24
15000US48151,4,2
15000US48153,7,2
15000US34039,416,108
15000US48157,208,76
15000US51840,23,5
15000US40039,21,5
15000US37029,5,2
15000US40033,5,2
15000US40031,83,32
15000US40037,46,20
15000US40035,12,5
15000US40143,426,174
15000US40141,9,5
15000US40147,42,13
15000US40145,41,22
15000US40149,8,4
15000US19069,10,3
15000US37023,57,18
15000US19063,10,4
15000US19061,79,26
15000US19067,16,5
15000US19065,21,7
15000US05139,40,10
15000US37021,153,55
15000US05131,92,26
15000US05133,10,4
15000US05135,17,4
15000US05137,9,3
15000US37027,61,17
15000US37129,119,45
15000US48425,4,2
15000US37127,64,18
15000US37125,56,18
15000US37025,93,37
15000US37123,21,6
15000US37121,13,4
15000US47069,17,6
15000US31159,11,4
15000US48427,36,14
15000US38079,11,4
15000US47061,10,4
15000US31151,9,4
15000US47063,41,12
15000US31153,136,43
15000US47065,246,82
15000US31155,15,5
15000US47067,4,2
15000US31157,35,11
15000US46109,11,4
15000US48423,129,41
15000US53009,54,22
15000US53003,20,6
15000US53001,14,5
15000US53007,54,14
15000US53005,136,37
15000US48371,13,4
15000US48373,30,10
15000US48375,96,34
15000US48377,5,2
15000US13213,25,8
15000US46107,1,1
15000US28057,17,5
15000US27057,16,7
15000US28055,1,1
15000US27055,12,5
15000US28053,8,3
15000US27053,972,299
15000US28051,18,5
15000US27051,4,2
15000US29055,20,6
15000US29057,8,2
15000US29051,53,15
15000US28059,100,29
15000US27059,21,8
15000US20013,10,3
15000US20011,15,5
15000US20017,3,1
15000US20015,41,13
15000US20019,5,1
15000US46102,8,3
15000US47027,6,2
15000US29183,168,79
15000US28129,14,3
15000US29181,13,4
15000US29186,14,4
15000US13219,13,6
15000US29185,8,3
15000US28123,21,6
15000US48205,3,1
15000US28121,74,27
15000US29189,691,199
15000US28127,24,5
15000US38075,2,1
15000US28125,5,2
15000US48203,51,14
15000US54103,17,5
15000US54101,6,3
15000US54107,68,26
15000US54105,3,2
15000US54109,18,6
15000US16005,59,22
15000US27123,400,137
15000US16007,6,2
15000US27121,11,4
15000US16001,168,59
15000US27127,15,6
15000US16003,2,1
15000US27125,4,2
15000US27129,16,6
15000US16009,8,2
15000US51640,7,2
15000US42093,12,4
15000US38045,3,2
15000US42091,559,211
15000US42097,91,24
15000US42095,201,68
15000US42099,34,10
15000US38047,1,1
15000US54037,31,15
15000US54035,22,6
15000US54033,55,22
15000US54031,11,3
15000US38041,2,1
15000US54039,170,53
15000US38043,2,1
15000US41071,53,17
15000US39029,93,24
15000US38049,3,2
15000US39023,135,44
15000US39025,117,40
15000US39027,31,9
15000US24035,27,14
15000US06009,29,9
15000US24037,55,18
15000US24031,613,215
15000US24033,522,218
15000US53025,45,16
15000US06001,1046,360
15000US06003,1,1
15000US24039,19,8
15000US06005,27,9
15000US06007,194,51
